id,category,type,required,label,placeholder,output_text,severity,options
parzelle,Basis,number,true,Parzellennummer,z.B. 42,Parzelle: {value},info,
dach,Basis,number,true,Dachfläche (m²),z.B. 24,Die Laube/überdachte Fläche beträgt {value} m².,info,
strom,Basis,number,false,Stromzählerstand (kWh),z.B. 1234,Stromzählerstand: {value} kWh,info,
dachbauten_keine,Dachbauten,select,false,Keine Anmerkungen,,"Keine Anmerkungen. Bitte beachte, dass neue An- und Ausbauten, auch Vordachanbringung bzw. Vergrößerung, einer Zustimmung durch den Vorstand bedürfen.",info,
dachbauten_ueberschreitet,Dachbauten,select,false,Die Laube/überdachte Fläche überschreitet 24 m²,,"Die Laube/überdachte Fläche überschreitet die erlaubten 24 m². Das bedeutet: Keine neuen An- und Ausbauten, auch nicht Vordachanbringung bzw. Vergrößerung erlaubt! Bei Gartenrückgabe muss ggf. mit Rückbau auf das erlaubte Maß von 24 m² gerechnet werden. Bei Fragen kannst Du Dich an den Vorstand wenden.",warning,
dachbauten_ohne,Dachbauten,select,false,Die Laube wurde ohne Zustimmung des Vorstandes vergrößert,,Die Laube/überdachte Fläche wurde ohne Zustimmung des Vorstandes vergrößert und überschreitet die erlaubten 24 m². Bitte auf das erlaubte Maß von 24 m² zurückbauen/die neue überdachte Fläche mit einer abnehmbaren Bedeckung bedecken.,error,
drittelung_keine,Drittelung,select,false,Keine Anmerkungen,,Keine Anmerkungen. Achte gerne auch weiterhin auf die Einhaltung der Drittelung (ein Drittel der Gartenfläche muss für den Anbau genutzt werden).,info,
drittelung_fehlt,Drittelung,select,false,Keine Drittelung,,Der Garten weist keine Drittelung auf (ein Drittel der Gartenfläche muss für den Anbau genutzt werden). Bitte die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete).,warning,
drittelung_keine_nutzung,Drittelung,select,false,Keine Drittelung/kleingärternische Nutzung,,Der Garten weist keine kleingärtnerische Nutzung auf. Es ist insbesondere keine Drittelung erkennbar (ein Drittel der Gartenfläche muss für den Anbau genutzt werden) / Der Garten wirkt verwildert oder verwahrlost. Bitte die Anbaufläche auf ein Drittel vergrößern (z.B. durch die Umwandlung von Rasenfläche in Beete).,,
unkraut_keine,Unkraut,select,false,Keine Anmerkungen,,"Keine Anmerkungen. Achte gerne auch weiterhin darauf, Unkraut mit Samenflug sowie invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, regelmäßig zu entfernen.",info,
unkraut_samen,Unkraut,select,false,Unkraut mit Samenflug / Invasive Pflanzen,,"Der Garten weist Unkraut mit Samenflug bzw. invasive Pflanzen, die sich negativ auf Nachbargarten ausbreiten, auf. Bitte Unkraut mit Samenflug bzw. invasive Pflanzen entfernen.",warning,
details0,Sonstiges,checkbox,false,Der Garten ist insgesamt in einem guten Zustand.,,Der Garten ist insgesamt in einem guten Zustand. Weiter so!,info,
details1,Sonstiges,checkbox,false,Kein Stromzählerstand erfasst.,,Bitte den Stromzählerstand an vorstand@taunus3.de übermitteln.,warning,
details2,Sonstiges,checkbox,false,Kein Kompost vorhanden.,,Kein Kompost vorhanden. Bitte einen Kompost anlegen.,warning,
details3,Sonstiges,checkbox,false,Unrat/Müll im Garten,,In dem Garten lagert Unrat/Müll. Bitte entfernen.,error,
details4,Sonstiges,checkbox,false,Sichtschutz (nicht aus Pflanzen),,"Sichtschutz, der nicht aus Pflanzen besteht, ist verboten. Bitte entfernen.",warning,
details5,Sonstiges,checkbox,false,Hecke im Garten zu hoch (120cm),,Hecke im Garten ist zu hoch (zulässige Höhe: 120cm). Bitte kürzen.,warning,
details6,Sonstiges,checkbox,false,Außenhecke zu hoch (180cm),,Hecke an der Außengrenze ist zu hoch (zulässige Höhe: 180cm). Bitte kürzen.,warning,
details8,Sonstiges,checkbox,false,Äste ragen in Wege/Nachbargärten,,"Äste, Zweige von Büschen und Bäumen ragen in die Gartenwege bzw. in Nachbargärten. Bitte entfernen.",warning,
details9,Sonstiges,checkbox,false,Kranke Gehölze/Bäume,,Der Garten enthält kranke Gehölze/Bäume. Bitte entfernen.,error,
details10,Sonstiges,checkbox,false,Parzellennummer nicht sichtbar,,Bitte die Parzellennummer sichtbar anbringen.,warning,
details11,Sonstiges,checkbox,false,Hauptweg mit Unkraut,,Der Hauptweg ist zu stark mit Unkraut bewachsen. Bitte entfernen.,warning,
weiteres,Sonstiges,text,false,Weiteres,,,info,
frist_aktiv,Sonstiges,checkbox,false,Frist setzen,,,info,
Frist,Sonstiges,date,false,Frist,30.06.26,,,
abmahnung_keine,Abmahnung,select,false,Keine,,,info,
abmahnung_erste,Abmahnung,select,false,Erste Mahnung,,,warning,
abmahnung_zweite,Abmahnung,select,false,Zweite Mahnung,,,error,
abmahnung_dritte,Abmahnung,select,false,Dritte Mahnung,,,error,﻿id,category,type,req﻿id,category,type,requ
